zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
50;27;1015;SECRETARIA DE DESENVOLVIMENTO RURAL E MEIO AMBIENTE;RUA JOSÉ FÉLIX, 259;CENTRO;62738000;276;
50;29;1090;CRECHE PRO INFÂNCIA;RUA FILOMENO BEZERRA DE ALMEIDA;CENTRO;62738000;360;28,40
50;30;1090;CRECHE PRO INFÂNCIA;RUA FILOMENO BEZERRA DE ALMEIDA;CENTRO;62738000;358;31,110
50;32;1112;EMEF JOSÉ BEZERRA FILHO;RUA FILOMENO BARBOSA DE OLIVEIRA, S/N;CONJUNTO SÃO JOSÉ;62738000;275;
50;33;1112;EMEF JOSÉ BEZERRA FILHO;RUA FILOMENO BARBOSA DE OLIVEIRA, S/N;CONJUNTO SÃO JOSÉ;62738000;272;
50;34;1058;EEFM EDITE ALCÂNTARA MOTA;RUA JOSÉ SEVERINO FILHO, 205;CENTRO;62738000;320;
50;35;1058;EEFM EDITE ALCÂNTARA MOTA;RUA JOSÉ SEVERINO FILHO, 205;CENTRO;62738000;320;
50;36;1058;EEFM EDITE ALCÂNTARA MOTA;RUA JOSÉ SEVERINO FILHO, 205;CENTRO;62738000;318;
50;37;1058;EEFM EDITE ALCÂNTARA MOTA;RUA JOSÉ SEVERINO FILHO, 205;CENTRO;62738000;317;
50;38;1066;EEF MARIA ARINDA LOBO DE MESQUITA;RUA JOSÉ SEVERINO FILHO, 209;CENTRO;62738000;284;
50;39;1066;EEF MARIA ARINDA LOBO DE MESQUITA;RUA JOSÉ SEVERINO FILHO, 209;CENTRO;62738000;286;
50;41;1112;EMEF JOSÉ BEZERRA FILHO;RUA FILOMENO BARBOSA DE OLIVEIRA, S/N;CONJUNTO SÃO JOSÉ;62738000;271;
50;42;1066;EEF MARIA ARINDA LOBO DE MESQUITA;RUA JOSÉ SEVERINO FILHO, 209;CENTRO;62738000;286;
50;43;1066;EEF MARIA ARINDA LOBO DE MESQUITA;RUA JOSÉ SEVERINO FILHO, 209;CENTRO;62738000;287;
50;107;1066;EEF MARIA ARINDA LOBO DE MESQUITA;RUA JOSÉ SEVERINO FILHO, 209;CENTRO;62738000;285;
50;123;1058;EEFM EDITE ALCÂNTARA MOTA;RUA JOSÉ SEVERINO FILHO, 205;CENTRO;62738000;320;
50;158;1066;EEF MARIA ARINDA LOBO DE MESQUITA;RUA JOSÉ SEVERINO FILHO, 209;CENTRO;62738000;285;
50;173;1112;EMEF JOSÉ BEZERRA FILHO;RUA FILOMENO BARBOSA DE OLIVEIRA, S/N;CONJUNTO SÃO JOSÉ;62738000;274;
50;176;1139;EEF MESSIAS DELFINO ALVES;VILA SÃO JOÃO;ZONA RURAL;62738000;335;
50;177;1120;EMEF MANOEL JUSTINO MONTEIRO;LAGOA DO MEIO;ZONA RURAL;62738000;194;
50;186;1139;EEF MESSIAS DELFINO ALVES;VILA SÃO JOÃO;ZONA RURAL;62738000;335;
50;192;1112;EMEF JOSÉ BEZERRA FILHO;RUA FILOMENO BARBOSA DE OLIVEIRA, S/N;CONJUNTO SÃO JOSÉ;62738000;273;
50;198;1163;EMEIF PASCOAL ALMEIDA DE SOUSA;CANGATI;ZONA RURAL;62738000;315;
50;199;1031;EMEF SANTA LUCIA;PINDA II;ZONA RURAL;62738000;298;
50;200;1171;CRECHE ESCOLA RAIMUNDO PIRES;CARAÚBAS;ZONA RURAL;62738000;150;
50;203;1104;EMEF MANOEL JUSTINO - ANEXO;PEDRA D'AGUA;ZONA RURAL;62738000;128;
50;204;1023;EEMF RAIMUNDO LESSA;GUERRA;ZONA RURAL;62738000;350;232
50;206;1058;EEFM EDITE ALCÂNTARA MOTA;RUA JOSÉ SEVERINO FILHO, 205;CENTRO;62738000;321;
50;226;1163;EMEIF PASCOAL ALMEIDA DE SOUSA;CANGATI;ZONA RURAL;62738000;320;
50;227;1031;EMEF SANTA LUCIA;PINDA II;ZONA RURAL;62738000;175;
